Top_RGB_R,Top_RGB_G,Top_RGB_B,Bot_RGB_R,Bot_RGB_G,Bot_RGB_B,Top_YUV_Y,Top_YUV_U,Top_YUV_V,Bot_YUV_Y,Bot_YUV_U,Bot_YUV_V,Top_HSV_H,Top_HSV_S,Top_HSV_V,Bot_HSV_H,Bot_HSV_S,Bot_HSV_V,Top_LAB_L,Top_LAB_A,Top_LAB_B,Bot_LAB_L,Bot_LAB_A,Bot_LAB_B,Top_hls_H,Top_hls_L,Top_hls_S,Bot_hls_H,Bot_hls_L,Bot_hls_S,Thickness
12.782,31.4908,43.798,29.9544,35.6312,40.9688,27.254,136.142,115.4788,34.5608,130.7424,123.7232,101.7788,181.4076,43.7996,104.2976,68.3316,40.9688,28.2424,125.1804,117.4632,34.9848,126.9956,123.7272,101.7844,28.4176,141.8076,104.2832,35.5104,39.8368,111.5333333
1.3364,15.7688,34.0468,29.048,33.756,39.74,13.5472,137.7928,117.328,33.08,130.858,124.1536,106.796,245.5428,34.0468,106.8192,68.6836,39.74,11.2952,128.6424,114.442,32.8984,127.6256,123.2712,106.8172,17.7024,237.612,106.8172,34.4456,39.9496,77.8
1.3596,19.1972,39.4032,24.5464,35.2168,43.8456,16.1696,139.2048,115.1692,32.8744,133.1408,120.7268,105.884,246.4588,39.4032,103.316,112.27,43.8456,14.552,129.386,112.2184,33.7196,126.1752,120.8516,105.7836,20.406,239.1192,103.316,34.2632,72.636,80.3
1.1728,14.6336,29.0144,22.9144,32.7368,39.1644,12.1608,136.3032,118.086,30.4568,131.8736,121.392,105.3428,245.2188,29.0144,101.96,105.9288,39.1644,9.9056,127.9688,117.5548,30.5184,125.7836,122.3188,105.3428,15.3272,236.6204,101.96,31.2416,67.3988,75.9
0.9384,16.5468,31.0332,29.424,34.16,37.7568,13.562,136.5788,117.044,33.1936,129.9984,124.3968,104.4416,247.7732,31.0332,103.3248,56.9048,37.7648,11.1636,127.4216,116.8304,33.1744,126.908,124.9652,104.436,16.158,241.486,103.3248,33.6648,32.1504,77.73333333
11.1108,34.1052,43.6012,32.5408,38.112,40.664,28.3284,135.5836,112.874,36.7808,129.792,124.0224,98.7556,190.9608,43.6012,98.6672,50.8432,40.7096,30.588,122.752,119.0016,37.7656,126.0724,125.6136,98.7996,27.4464,154.466,98.6672,36.6484,28.618,100.0666667
8.3212,27.4956,42.2456,30.3872,35.088,41.8704,23.502,137.0556,114.8136,34.5568,131.1584,124.0496,103.0568,205.7884,42.2456,107.8112,70.008,41.8704,23.6376,126.1036,115.7392,34.7288,127.724,122.8532,103.058,25.3548,174.7592,107.8112,36.1652,40.8048,93.93333333
7.5512,27.572,41.8904,27.678,33.492,43.3312,23.2924,136.9336,114.2516,32.9068,132.816,123.3248,102.6944,210.0956,41.8904,108.95,92.166,43.3312,23.5676,125.6188,115.9536,32.6656,128.4008,120.4972,102.6944,24.7692,180.3384,108.9088,35.5996,56.554,96.16666667
7.2892,26.3648,40.5088,22.694,32.3628,42.8564,22.336,136.8024,114.9452,30.6244,133.9336,121.0764,102.858,209.868,40.5088,105.4712,119.9856,42.8564,22.1128,125.8148,116.0864,30.5132,127.1972,119.568,102.858,23.9424,179.752,105.4696,32.8636,78.9864,95.9
24.0924,32.7704,22.808,29.1896,34.428,43.7184,29.062,125.2504,123.5112,34.0456,132.5236,123.648,55.9556,80.8104,32.7704,109.0224,84.2772,43.7184,29.3896,121.3916,133.4436,33.9956,128.346,121.0116,55.954,27.9264,48.9752,108.9528,36.482,50.868,124.4333333
29.9664,32.3504,29.6848,31.5568,34.5616,38.8192,31.2224,127.232,126.744,34.2368,129.9792,125.32,57.9472,24.1904,32.3536,107.296,47.816,38.8448,30.7604,126.418,129.548,34.2144,127.7412,124.7392,57.9472,31.0716,12.6772,107.2688,35.2248,26.4552,117.7
22.574,29.3876,26.6672,28.6364,32.6204,35.7852,27.086,127.8004,123.84,31.7708,129.8624,124.8752,76.1812,59.9144,29.426,103.1568,51.2268,35.798,26.0176,124.264,128.922,31.2988,127.2064,125.2616,76.1196,26.164,34.5668,103.144,32.3792,28.4856,115.4666667
23.7772,32.4716,25.6572,24.822,34.7424,46.4296,29.1324,126.3696,123.0992,33.0644,134.5768,120.8092,65.928,68.8728,32.4716,106.2372,118.934,46.4296,29.1856,122.2556,131.2852,33.6316,127.5488,118.814,65.928,28.324,40.8536,106.2372,35.7776,78.0476,120.0666667
